Term,key_class,values
tissue harvest methods,tissue,"slices from each of the lobes were pooled together for microarray analysis, the organ was longitudinally bisected, a slice was removed for histology and the remainder of the organ was minced and used for microarray analysis, the gland was transversely sectioned and the bottom portion was used for microarray analysis, lung samples were obtained by placing a suture loosely around the left bronchus at the site where the bronchus enters the left lung lobe. a second suture was placed around the right bronchus and pulled tightly to tie off the right lung lobes. the right lung lobes were removed and placed in rnalater, and the left lung infused under hydrostatic pressure (~30 cm) with neutral buffered formalin. samples placed in rnalater were incubated overnight at 4_c and frozen the next day at < 70_c., the nose was dissected to isolate the level ii region of both nostrils. the maxillo turbinate and olfactory epithelium were discarded and the lateral meatus and nasoturbinate were retained for cell isolation. the dissected nasal sections were rinsed with cold phosphate buffered saline to remove the blood. after rinsing, a 5 ml buffered mixture of proteases (collagenase, 80 u/ml, sigma-aldrich"
tissue/cell type,tissue,"soybean root/hypocotyls - p.sojae mycelium from minimal medium, peripheral blood leucocytes (pbl), osteosarcoma, ovarian somatic cells (osc), testicular germ cells, macs-sorted"
4 months tissue,tissue,spinal cord
secondary lymphoid tissue,tissue,spleen and lymph nodes
fresh tissue,tissue,splenocytes
tissue region enriched for,tissue,"starch, lipid"
host tissue,tissue,"stomach, root, hind foot pads, hyphae, serum"
mammary tissue,tissue,"stroma (fat pad), parenchyma"
tissue_source,tissue,"surgical specimen, chtn specimen"
tissuet type,tissue,testis
tissue extraction,tissue,the entire region from just above the eye to below pharyngeal arch 6 was dissected out and subjected to facs and yfp+ cells were pooled from 10 embryos
tissue source site,tissue,"the ontario tumor bank network,canada, the groene hart hospital,the neterlands"
tissue (organ),tissue,"thymus, cord blood"
tissue/cell line,tissue,"tissue, cell line, hek293, monolayer cells, fibroblast"
tissue or cells,tissue,"tissue, cells, homogenized retina, facs sorted retina, cultured retinal progenitor cells"
tissue isolated,tissue,tumor developed in recipient mice
tissue sub-type,tissue,"tumor whole tissue, normal whole tissue, normal stroma, tumor stroma, normal epithelium"
treated tissue,tissue,"two fully expanded leaves, root (soil surrounding the root system)"
tissue bank,tissue,"umary, blsa"
tissuebank,tissue,"umary, blsa, shri, mrc, jhu"
tissue estradiol conc.,tissue,"under detection limit, 550pg/g, 9pg/g, 10.5pg/g, 300pg/g"
tissue/cell type,tissue,"undifferentiated es (cell culture), embryonic bodies (cell culture), cardiac bodies (cell culture), whole heart"
tissue separation,tissue,"unfractionated peripheral blood dna, lymphoid peripheral blood dna, myeloid peripheral blood dna"
tissue origin,tissue,"uninvolved lung, lung adenocarcinoma, bone marrow, peripheral blood, breast"
tissue_depot,tissue,"uw, n/a, brain, na, abdomen"
prostate tissue,tissue,"vp lobe, dlp lobe"
tissue_detail,tissue,"whole blood, muscle - skeletal, lung, artery - tibial, thyroid"
tissue [transplant],tissue,"wt fetal liver cells engrafted in bm of an irradiated mice, pax5ko fetal liver cells engrafted in bm of an irradiated mice"
tissue genotype/variation,tissue,"wt, p53 mutant"
sample tissue of origin,tissue,"xenograft splenocyte, bone marrow, peripheral blood"
tissue factor,tissue,
tissue pair,tissue,
tissue weigth,tissue,
tissue/cell lines,tissue,
tissue/cell preparation,tissue,
treatment_time[hr],treatment,6
euthanasia day post treatment,treatment,42
dht treatment,treatment,"""-"", na, 1 nm, 100nm,"
treatment adchem,treatment,": adchemanthracycline, : adhtamoxifen, : no treatment"
treatment time (rhgaa),treatment,"""--"", 00 weeks, 12 weeks, 52 weeks"
ms treatment,treatment,"""-"", copaxone, betaferon, tysabri, rebif44"
response to tzd treatment,treatment,"""=+ (responder)"", ""=- (non responder)"""
treatment amount [c],treatment,"(not applicable), 50 ug/ml"
treatment [c],treatment,"(not applicable), oxidized ldl"
days after treatment,treatment,"0 d, 1 d, 23 d, 3, 7"
duration of il-6 treatment,treatment,"0 h, 12 h, 1 h, 6 h, 3 h"
hcg treatment time,treatment,"0 hr, 3 hr, 9 hr, 14 hr"
treatment response in vivo,treatment,"0, 1"
treatment_dose_u/ml,treatment,"0, 1000"
rai stage before treatment,treatment,"0, 2, 4, 3, 1"
hours treatment,treatment,"0.5, 4, 0"
h2o2 treatment level,treatment,"0mm, 1mm, 50mm, 5mm, 25mm"
b12 treatment,treatment,"0nm, 500nm, 50um"
folate treatment,treatment,"0nm, 6um, 30um, 60um"
days of treatment,treatment,"1 day, 3 days"
time after treatment,treatment,"1 day, 6h, 12h, 24h, 48h"
treatment duration,treatment,"1 days, 3 days, 5 days, .25 days, 24h"
order of treatment,treatment,"1, 2"
treatment repeat,treatment,"1, 5, 2006"
weeks after treatment,treatment,"1, 8"
testosterone treatment,treatment,"100 nm testosterone, none"
treatment dose u/ml,treatment,"100, 0"
treatment_dose,treatment,"1000 u/ml, none"
time (weeks of treatment),treatment,"11, 27, -4, 23, 17"
period of treatment,treatment,"12 weeks, 4 weeks"
treatment time(minutes),treatment,"120, 480, 0, 20, 40"
sirna treatment time point,treatment,"12hr, 4hr, 8hr, 18hr"
age (at the end of treatment),treatment,13 wks
treatment-time,treatment,"14 days, none, 24 hours, 3 hours, 9 hours"
duration of treatment,treatment,"15 min, 5 days, 30 min, 60 min, 6 hr"
tnfa treatment time point,treatment,"1hr, 2hr, 3hr, 6hr, untreatment"
chloride treatment,treatment,"1mm, none"
bl treatment level,treatment,"1um, 0um"
specific treatments,treatment,"2 h exposure to 12.5 _µg/ml gentamicin, 2h exposure to combined gentamicin ans surface acoustic waves, 2 h exposure to surface acoustic waves generated by a piezo element directly attached to the cathter. the frequency of the vibrations generated on the piezo element is 100 khz _± 10% and at on/off frequency of 30hz, none"
time (days of dss treatment),treatment,"2, 0, 7"
weeks of treatment,treatment,"2, 3, 5/6, 1, 4"
kcl treatment time (hours),treatment,"2, 6, 2001"
treatment length,treatment,"21 days, 48 hours, 96 hours, 14 days, 1 hour"
day of dox treatment,treatment,"21, 14, 27, 0, 2"
treatment 2,treatment,"22mm glucose, 5mm glucose, 20 nm insulin, equine chorionic gonadotropin, i.p. injection with scriptaid"
treatment pairs,treatment,"23, 61, 94, 19, 20"
time post treatment,treatment,"24 hours, 4 hours, 2 hours, 6 hours, 0 hour"
length of treatment,treatment,"24 hours, 6w, 3w, 14hrs"
secondary treatment duration,treatment,"24 hours, 6w, 3w, 14hrs"
treatment time point,treatment,"24 hr, 3 hr, 10 minutes, 30 minutes, 350h"
treatment duration (hours),treatment,"24, 6, 72"
duration of treatment (hours),treatment,"24, 8"
treatment_time,treatment,"24h, 4 h, 4h, 24 h, 0 hrs"
treatment time-point,treatment,"24h, 8h, ctrl, 15h, 2h"
treatment time (hours),treatment,"24hrs, 8, 6hrs, 4, control"
growth factor treatment,treatment,"25ng/ml egf, 50ng/ml ngf, no treatment"
treatment age,treatment,3 days post-germination
treatment period,treatment,"3 h, 3 days, 7 days, 0, none"
5-aza-c treatment,treatment,"3_m at 18 hrs post infection for 12 hrs, 5_m at 32 hrs post infection for 24 hrs"
length of treatment (days),treatment,"3, 5, 7, 1.5, 9"
days of ddc treatment,treatment,"3, 7, 14, 0"
stress treatment,treatment,"38c for 3hrs, 100 mm nacl for 3hrs, 800 _µm photons m-2s-1 for 3hrs, 10c for 3hrs, 100 mm nacl + 38c for 3hrs"
vernalization treatment,treatment,"4_c, short day (8 hours light/16 hours dark)"
time after h2o2 treatment,treatment,4h
h2o2 treatment,treatment,5 mm
treatment dose,treatment,"5 ng/ml, 10 _µm, 10 u/ml, 3 um, 5 _µm"
treatment batch,treatment,"5, 2, 1, 3, 4"
treatment concentration,treatment,"500nm, 10 mm, 0.3mm h2o2, --"
co2 treatment,treatment,"540 ppm co2, 1020 ppm co2,"
period of salt treatment,treatment,"6 hours, 1 hour, 3 hours, 12 hours, 0 hour"
treatment exposure,treatment,"6 hours, 1 hours"
age at start of treatment,treatment,"6-8 d, 2 d"
post-dac treatment,treatment,"6h etoh treatment, 6h e2 treatment"
treatment time,treatment,"6hr, 2hr, 0hr, 24h, 14 days"
time of tamoxifen treatment,treatment,"7 months of tamoxifen treatment in vivo, 8 months of tamoxifen treatment in vivo, from 7 to 8 months of tamoxifen treatment in vivo, 9 months of tamoxifen treatment in vivo, 10 months of tamoxifen treatment in vivo"
day of dss treatment,treatment,"7, 0"
dac treatment,treatment,"72h no treatment, 72h 1__m dac treatment"
treatment name,treatment,"a_euteiches_6dpi - inoculation - pathogen infection,ae 6dpi, a_euteiches_1dpi - time course study - pathogen infection,ae 1dpi, water_a_euteiches - with euteiches,inoculation - mock infiltration,ae 6d, water - inoculation - mock infiltration,mock_water"
treatment_schedule,treatment,"a, b, c, untreated"
post surgical treatment,treatment,"act, obs"
hygromycin treatment,treatment,"added, added, then removed"
time of treatment,treatment,"after disease establishment, zt24, zt36, 6h, time of grafting"
cactus host treatment,treatment,"agria, organpipe"
bioremediation treatment,treatment,alert (ex situ)
treatment type,treatment,"anastrozole, tamoxifen, lps, letrozole, none"
inducer treatment,treatment,"ap21967, vehicle"
treatment stage,treatment,"baseline (prior infliximab infusion), vitellogenic, preablation, elongated cortical rod, 24hrs postablation (previtellogenic)"
treatment protocol,treatment,"biweekly with high dose of peg30-fgf21 q108 (biw, 2.5mpk), twice daily with wild-type fgf21 (bid, 1.25mpk), biweekly with low dose of peg30-fgf21 q108 (biw, 0.75mpk), twice daily with vehicle (saline), hypoxia, followed by variable-length normoxia"
chamber treatment,treatment,"clean air, diesel exhaust inhalation"
treatment regimen,treatment,cog 9404
myo-inositol treatment,treatment,"complete response, progressive disease, partial response, unknown response"
treatment gp,treatment,control adenoviral recombinant
tissue treatment,treatment,"control luteal day 10, hcg (simulated early pregnancy) luteal day 15, hcg (simulated early pregnancy) luteal day 10+trl+r5020, hcg (simulated early pregnancy) luteal day 10+trl, hcg (simulated early pregnancy) luteal day 15+trl+r5020"
environmental treatment group,treatment,"control, collected on the day of landing emerged during the flight and within 4 hours of, landing"
treatment 1,treatment,"control, laser treated, steroids 0mg/kg, 10 ng/ml tnf, antide on days 1 and 4"
transfection or treatment,treatment,"control, no treatment, dmso"
sirna treatment group,treatment,"control, sisteap1, itm2a, dkk2"
in vivo treatment,treatment,"corn oil, propylene glycol mono-t-butyl ether, methylene chloride, 1,2,3-trichloropropane, naphthalene"
light treatment,treatment,"dark, light, white light 1h, white light 6h"
units of treatment time,treatment,"days/wk, 6 hr/day, hr/day"
sample treatment,treatment,"dep, fap, dnase digestion, sonication"
treatment result,treatment,"developed lipodystrophy, nonlipodystrophic"
dsrna treatment (knockdown),treatment,"dicer-1 dsrna, argonaute 1 dsrna, argonaute 2 dsrna, dicer-2 dsrna, drosha dsrna"
cardioglycoside treatment,treatment,"digoxin, strophanthidin, peruvoside, control"
dnase treatment,treatment,"dnase i treated, no, 1.2u-12u per 132 ul, yes"
plant treatment,treatment,"etoh, dexamethasone"
treatment/growth condition,treatment,"expose 0.1% ethanol for 4days between day2 and day6, expose 10-7m retinoic acid for 4days between day2 and day6, expose 10-8m retinoic acid for 4days between day2 and day6"
treatments,treatment,"exposed to mq water, ut-untreated, ra-al-trans retinoic acid induced, 10 min 1mm h2o2, exposed to raw wastewater"
treatment/exposure,treatment,"exposed toa ir, exposed to smoke"
treatment.type,treatment,"fec/tx, fec/tx+h"
treatment route,treatment,gavage
in vivo treatment with,treatment,"gdc-0941 alone, gdc-0941 + pd0325901"
heat treatment,treatment,"heating at 95c for 30 min, heating at 95c for 60 min, heating at 95c for 0 min, heating at 95c for 10 min"
treatment dosage,treatment,"high, low, 0.7 ppm, 60mg/kg/d, 100 nm"
treatments prior to dasatinib,treatment,"hu, ifn, im, hu, ifn, arac, im, hu, ifn, arac, asct, im"
tzd treatment,treatment,"hu, ifn, im, hu, ifn, arac, im, hu, ifn, arac, asct, im"
oxygen treatment,treatment,"hypoxia, normoxia (mock)"
patient treatment plan,treatment,"ic+surgery, crt, ic+crt, ic+rt"
cytokine treatment,treatment,"il13, il13 + il4, media, il-33, il-25"
nature of treatment,treatment,"in vivo, in vitro con, in vivo con (age-matched), in vitro"
treatment_category,treatment,"ivig responder_acute, ivig responder_after, ivig healthy controls, ivig non responder_acute, ivig non responder_after ivig"
treatment drug,treatment,"jq1, dmso, --"
maternal treatment group,treatment,"leptin, control, restricted"
treatment (short label),treatment,"lis.dil, er.char 40%, lis 40%, mdl.diel, mdl.phen"
pbmc treatment,treatment,"lps, conditioned, untreated, conditioned"
treatment condition,treatment,"lps, control, oxpapc, na, constant dark conditions"
secondary treatment,treatment,"macrophage conditioned medium, thesc conditioned medium serum starved, serum starvation"
peptide treatment,treatment,"metastin-10, control peptide"
antibody treatment,treatment,"mouse igg, 228b/c, 228b/c + 11h4, none, 11h4"
vaccine or treatment,treatment,"mrkad5/hiv, mrkad5 at 20000 virus particles/cell, mock"
rnai treatment,treatment,"msl2 rnai, control gfp rnai, xrn-1, mes-4, tspan-17 shrna"
transcription factor treatment,treatment,"myocd, nkx2.5, hand2, gata4, no tf"
treatment start age,treatment,"n/a, 44 days"
c systemic treatment,treatment,"n/a, chemotherapy - tamoxifen, chemotherapy, tamoxifen, no"
c local treatment,treatment,"n/a, mastectomy, breast conserving surgery"
lithium treatment,treatment,"n/a, no, yes"
valproate treatment,treatment,"n/a, no, yes"
treatment response,treatment,"na ,responder, nonresponder, fl_responder, partial response"
treatment response in vitro,treatment,"na, 0, 1"
time to treatment (days),treatment,"na, 1624, 31, 230, 0"
treatment compound,treatment,"na, indomethacin, sildenafil, valproic acid, rofecoxib"
treatment agent,treatment,"na, macrophage differentiation medium, acd3/acd28, il15, lps"
intrusion treatment,treatment,"na, simulated territorial intrusion, control"
gefitinib treatment,treatment,"na, y"
hormone treatment,treatment,"na, y"
treatment of mouse,treatment,"neu+ tumor bearing, normal"
sirna or shrna treatment,treatment,no
treatment of estrogen,treatment,no
treatment (chemo),treatment,"no chemo, chemo"
il-2 treatment,treatment,"no il-2, 50 u/ml il-2 (added at day0+16h)"
imatinib treatment,treatment,"no im, im"
treatment_2,treatment,"no loading, passive loading, fenofibrate, 1_µm 5z-7-oxozeaenol for 1 h, none"
msc treatment,treatment,"no msc, msc"
treatment description,treatment,"no special treatment or protocol applies, 1 h with 0.02% ethanol (myers), 60 h with 2.0% equine serum and insulin (wold), transmits 90.0% of vis, blocks 99.9% of all uv below 390 nm, transmits 90.0% of vis, uva, and uvb radiation"
treatment before sampling,treatment,"no treatment, anastrozole 1mg/d for 10 days, before anastrozole treatment"
chemical treatment condition,treatment,"no treatment, vc6tfmb+z, vc6tf+z, vc6tf"
chemical treatment conditon,treatment,"no treatment, vc6tfmps+z, vc6tf+z, f"
dopamine-agonists treatment,treatment,"no, ""-"", yes"
chx treatment,treatment,"no, chx treated, yes, solvent only, 380 ppm co2"
amykor treatment,treatment,"no, yes"
anti-cd8 treatment,treatment,"no, yes"
tap treatment,treatment,"no, yes"
drb treatment,treatment,"no, yes, last 16 hours"
treatment_1,treatment,"non-depolarizing neuromuscular blocking agent (nmba), pioglitazone, aleglitazar, tesaglitazar, 10ng/ml il-1alpha for 1 h"
treatment class,treatment,none
iodine treatment,treatment,"none, 1mm"
ecdysone treatment,treatment,"none, 3 hours, 48 hours"
sirna treatment,treatment,"none, bmal1 sirna, n/a, neg ctr, sirna myb"
treatment,treatment,"none, control, untreated, wild-type, dmso"
compound based treatment,treatment,"none, ima, rap"
dsrna treatment,treatment,"none, pc dsrna, trx dsrna, gst drna, nsl1 dsrna"
probiotic treatment,treatment,"none, probiotic treated (1x10^6 cfu/chick), treated one h later with probiotic (1x10^6 cfu/chick)"
treatment_molecule,treatment,"none, roferon"
animal treatment,treatment,"none, temodal (tmz) in orange juice, orange juice, continuous growth hormone treatment"
shrna treatment,treatment,"none, tet1 shrna2863, luc shrna, s6k1 shrna lentivirus, control shrna-treated"
prior treatment,treatment,"none, unknown, --, rad, radiation"
uv treatment,treatment,"none, uvb, uva"
ligand treatment,treatment,"none, vehicle, r5020, ngf, ngf-bdnf"
experimental treatment,treatment,"normal, untreated, dmso, 30min, benomyl, 25 mcg/ml, 30min, left atrial ligation"
patient treatment,treatment,"not applicable, mtx+et, mtx"
adjuvant treatment,treatment,"not known, no, yes"
enrichment treatment,treatment,"np ratio of 151 (1.5 _µm nano3 and 0.1 _µm kh2po4), np ratio of 751 (1.5 _µm nano3 and 0.02 _µm kh2po4)"
treatment_protocol,treatment,"od600 0.5 exposed to benzalkonium chloride 2 _µg/ml for 0 min, od600 0.5 exposed to hydrogen peroxide 0.05mm for 0 min, od600 0.5 exposed to peracetic acid 10_µg/ml for 0 min, od600 0.5 exposed to hydrogen peroxide 0.2mm for 0 min, od600 0.5 exposed to benzalkonium chloride 1 _µg/ml for 0 min"
route of treatment,treatment,oral treatment-drug added to drinking water
response to treatment,treatment,"partial response, stable disease, er stress, control"
ca04 or pbs treatment,treatment,"pbs, ca04 virus"
units of treatment repeat,treatment,"per day, hr/day, days/week, day/wk"
acidification treatment,treatment,"ph 7.6-7.7, ph 8.0-8.2, ph 7.8-7.9"
treatment/sample type,treatment,"pooled rna from c. neoformans grown under 9 different culture conditions, harvested from h99-inoculated rabbit at day7, harvested from h99-inoculated rabbit at day1"
treatment state,treatment,"post-deep brain stimulation on electrical stimulation, pre-deep brain stimulation, post-deep brain stimulation following 1 hour off electrical stimulation, none"
treatment_response,treatment,"pr, cr, vgpr, cured, not cured"
dasatinib treatment,treatment,"pre-treatment, post-treatment"
treatment status,treatment,"pre-treatment, previously treated, pre-interferon, post-interferon, unknown"
treatment arm,treatment,"prostvac, control, ixabepilone, paclitaxel, 13-cis-retinoic acid"
cancer treatment,treatment,"pt dxed in 2002, pt dxed in 2007"
growth condition and treatment,treatment,"radish sprout seeds were sterilized (5 min 70% ethanol, 10 min 1% naocl with 0.1% tween), then washed five times with sterile water and subsequently incubated in sterile ms medium without glucose in sterile plastic boxes (1 l total volume, passively aerated). after germination, seedlings were tested for sterility by plating a sample on lb agar. after 5 days of growth, the shoots were inoculated 10 min with 1 l __ concentrated ringer solution containing 103 cfu/ml ehec. the superfluous medium was decanted and cfu/g was periodically determined as followsinfected shoots were washed and bacterial numbers of the washing liquid were determined by serial dilution platings. after 120 hours, the transition from exponential to stationary phase could be determined. bacteria were harvested by gently shaking the seedlings in cold __-concentrated ringer (+1% tween-20
 tenfold diluted lysogeny broth was used as reference medium. cells were harvested after 3.5 h at about 3.1 x 108 cfu/ml.
 for nitrite, we added 200 mg/l sodium nitrite to 10-fold diluted lb and adjusted it to ph 6. harvest was after 6.5 h at 2.9 x 108 cfu/ml.
 for spinach medium, whole spinach leaves were homogenized (agienda agricola pistelle, kaufland, germany) on ice using an ultraturrax d50. the mush was centrifuged (1 h, 30,000_g, 5_c), decanted, filtered (2.5 _µm pore size), centrifuged (2 h, 30,000_g, 5_c), decanted and sterile filtered (0.2 _µm). after 5 h of growth, we harvested the cells at 6.0 x 108 cfu/ml."
chip dna treatment,treatment,"recjf, exoi"
small molecule treatment,treatment,"repsox at 24 hours, repsox at 48 hours, repsox at 1 week, repsox at 10 hours, repsox during derivation"
rna treatment,treatment,"rrna depleted, tobacco acid pyrophosphatase (tap), no rna treatment, none, oxidised"
treatment_given,treatment,"rt, --, rt + rt"
treatment*,treatment,"s, rt, s, s, crt, ic, s, rt, surgery"
b240 or saline treatment,treatment,"saline, lactobacillus pentosus b240"
timepoint 4h treatment,treatment,"same end point, not same day, same start point"
oligo treatment,treatment,scrambled control
immunogen treatment,treatment,"sea water, pic, mdp"
cell treatment,treatment,"shrna infected cells, cultured with anticd3 cd28 beads and collected at various time points, purified by cell sorting (cd4+ gfp+), purified by cell sorting (cd4+ gfp-), lmna knock-down (cultured)"
treatment2_in vivo treatment,treatment,"silica, air control, iraqi sand"
vaccine treatment,treatment,"siv dna vaccine, no vaccine (control), siv dna vaccine with rantes adjuvant"
dna treatment,treatment,"sonicated and immunoprecipitated with anti-5-methyl cytidine antibody (diagnode, li©ge, belgium), sonicated, sonicated and immunoprecipitated with anti-5-methyl cytidine antibody (diagenode, li©ge, belgium)"
rnase treatment,treatment,"ssrnase (rnase one), dsrnase (rnase v1), none"
treatment group,treatment,"statin alone, fenofibric acid+statin, control, fenofibric acid, untreated"
treatment delivery,treatment,"subcutaneous with osmotic pump, untreated"
adjuvant patient treatment,treatment,tamoxifen
preoperative treatment,treatment,"taxol x 12 fac x 4, fac x 6, fec x 6, paclitaxel x(12 ) + fec x(4 ), fec x(6 )"
treatments comments,treatment,"taxol x 12 fac x 4, paclitaxel x 12, fac x 4, taxol x 12 fec x 4, paclitaxel x 12, fec x 4, taxol 80 mg/m2 x12 , fec x4"
treatment category,treatment,test sample
hormonal treatment,treatment,"testosterone supplementation by implant, none, 11-ketotestosterone supplementation by implant"
tet1/tet2 treatment,treatment,"tet1 and tet2 knocked out, wt, tet1, tet2 and tet3 knocked out, heterozygous / tet1 and tet2 knocked out on one chromosome"
treatment code,treatment,"tfac, tfec, txfac, th/fac, fac"
treatment of the mice,treatment,treated with ecg for 48h and hcg for 12h
lps treatment (time),treatment,"untreated, 24 hours, 2 hours, 6 hours, 30 mins"
drug treatment time point,treatment,"untreated, 8hr, 2hr, 4hr, 6hr"
ddc treatment,treatment,"untreated, ddc-treated"
globin treatment,treatment,"untreated, globinclear"
hnf4 si rna treatment,treatment,"untreated, treated"
lenolidamide treatment,treatment,"untreated, treated"
in vitro treatment,treatment,"vehicle control, estradiol + progesterone (e2p4), estradiol (e2), none, il-7/il-25/il-33 5 days+ etoh 2 days"
drug treatment,treatment,"vehicle, chronic low levodopa, chronic high levodopa, dmso, jq1"
art treatment,treatment,"with, without"
ntg treatment,treatment,yes
tamoxifen-citrate treatment,treatment,yes
l-dopa treatment,treatment,"yes, -, no"
bisulfite treatment of rna,treatment,"yes, no"
nrti treatment status,treatment,"yes, no"
doxycycline treatment,treatment,"yes, no, false, true"
dox treatment,treatment,"yes, no, untreated, treated, dox+"
drug treatment time,treatment,
ionizing radiation treatment,treatment,
s2 treatment,treatment,
tamoxifen treatment,treatment,
time of treatment with fk866,treatment,
treatment variable,treatment,
